,id,srm,hex
281,iCCCVd,,
282,Ve4hVL,,
283,2zXLOE,,
284,LAEbXl,,
285,ahUnw1,,
286,nMK1nd,,
287,Y3bF6e,,
288,ZaJLVD,10.0,DE7C00
289,I0eJhr,,
290,tHeqzT,,
291,wTPp3s,8.0,EA8F00
292,oIFR3g,,
293,grCeLv,10.0,DE7C00
294,GN0Euv,,
295,Hq518F,10.0,DE7C00
296,DCcm2o,,
297,UqbscY,,
298,CpI60A,,
299,JcltUD,,
300,nHYjdl,,
301,FWElp0,,
302,qoUzCv,,
303,yl7xVq,,
304,bjAMXy,,
305,4nEMcq,,
306,96Y9Rh,,
307,HqpcnE,,
308,teNvBQ,,
309,eNnFLi,,
310,x9wfYI,,
311,jUHkST,,
312,hujUus,,
313,0uvGNP,,
314,wSHr5F,,
315,SALxOr,,
316,1QDLNg,,
317,YHQcWA,,
318,zM6KoB,,
319,wFNTnv,,
320,LWsWzG,,
321,XJbLvt,,
322,XSBeQp,,
323,ggvSNC,,
324,heyyUW,,
325,6txGoK,,
326,NNcfDL,41.0,000000
327,2aX3YP,,
328,ALvGNB,,
329,KV97JT,,
330,pkG6MD,,
331,7rIkdt,,
332,FnEyLf,,
333,bbaCvg,,
334,OaifTG,,
335,IhHhbe,,
336,BfufeF,,
337,o7LLXe,,
338,ahW5cd,,
339,z2IYVi,,
340,L76Lnq,,
341,1ymmuT,,
342,eIVb3u,,
343,f4uQ0D,,
344,oHqn3Q,,
345,42sVnM,,
346,uzsXmS,,
347,JzhvWb,,
348,nCVKt0,,
349,Oo5Xog,,
350,uhhntw,,
351,sxBbmT,,
352,lNtJWC,,
353,I0nQUS,,
354,YfZlHd,,
355,8uTWZo,,
356,FRXKiy,,
357,3KIhC7,,
358,6iVXTk,,
359,OVYjJ8,,
360,vCw1qN,,
361,dQnq9B,,
362,IR7FUQ,,
363,XwgYOt,14.0,C35900
364,hinypa,,
365,H47PZQ,,
366,UBbX8i,,
367,TURn6z,,
368,62jIeJ,,
369,SwbfYZ,,
370,HR60z2,,
371,q6dCtR,,
372,IqOMEW,,
373,nvbVcB,,
374,HJcOm7,,
375,gARYKS,,
376,rMDHfM,,
377,Mo34nu,,
378,vSyerc,,
379,jsQtDw,,
380,dYhO2y,,
381,1ypMHh,,
382,pERfE0,,
383,mpBwWy,,
384,GCW55l,11.0,D77200
385,IcKjHx,,
386,dTSJ8O,,
387,fpRwzW,,
388,cc3wVA,,
389,6zB42I,,
390,L9IJix,,
391,xFbg9k,,
392,NuZ4KB,,
393,FqjIic,,
394,AVRqgv,,
395,8bmQZM,,
396,7HGfAM,,
397,JyDztF,,
398,6SSuSV,,
399,FunqHL,,
400,OTb0v4,,
401,5tqtYU,,
402,siZ3Kk,,
403,VYXVzs,,
404,goHMSR,,
405,QkZpOf,,
406,MHd1p0,,
407,07Lu5F,,
408,UFPFnA,,
409,PNdqXV,,
410,tqxcUd,,
411,f19Giz,,
412,xnws9U,,
413,oV9oL0,,
414,Py8R58,,
415,rE1dAg,,
416,621GMY,,
417,cR4iEg,,
418,hkTacl,11.0,D77200
419,RVqgML,,
420,Am65Yr,7.0,F39C00
421,kJop8h,,
422,SprNK1,,
423,PU4kUY,,
424,SD1i4g,,
425,S4d5jZ,,
426,umEqWl,,
427,549QP3,,
428,Lu0FBT,,
429,ZVjjVA,,
430,qSnLaE,,
431,vfMg10,,
432,s97B2z,,
433,pnbJwZ,,
434,w6kbvl,,
435,YOMauX,,
436,2mRHx5,8.0,EA8F00
437,Ums11w,,
438,JHY2cE,,
439,dho2fq,10.0,DE7C00
440,flsTs7,,
441,f3njiC,,
442,ivVL5F,9.0,E58500
443,qfgRAw,,
444,B927bF,,
445,cGIRod,,
446,5hxwqQ,,
447,Vcp1P2,,
448,qKEKlu,,
449,yowxqu,,
450,yrI2Yc,,
451,umjuy5,,
452,0EzulN,,
453,wOEbD8,,
454,NWFX5V,,
455,56x0Ar,,
456,UtYSCe,,
457,PwIQok,,
458,BFhH5L,,
459,XzWhXv,,
460,dClUtE,,
461,AkvYD0,,
462,blY0cu,,
463,Lmfcmq,,
464,J15Tu7,,
465,IQPDCf,,
466,S6zS7t,,
467,W1PNXz,13.0,CB6200
468,ECupST,,
469,s6ffuD,,
470,dzOZMa,,
471,R9dyIK,,
472,REvca8,,
473,OLHXKP,,
474,k60jPn,,
475,CmRwr8,,
476,t6SesY,,
